Class distribution: Counter({0: 2104, 1: 2088})
Epoch 060: Train Acc = 0.7424, Val Loss = 0.5384
Epoch 070: Train Acc = 0.7654, Val Loss = 0.5078
Epoch 080: Train Acc = 0.7743, Val Loss = 0.5048
Epoch 090: Train Acc = 0.7728, Val Loss = 0.4882
Epoch 100: Train Acc = 0.7868, Val Loss = 0.4854
Epoch 110: Train Acc = 0.7937, Val Loss = 0.4767
Epoch 120: Train Acc = 0.8017, Val Loss = 0.4761
Epoch 130: Train Acc = 0.7928, Val Loss = 0.4572
Epoch 140: Train Acc = 0.8041, Val Loss = 0.4594
Epoch 150: Train Acc = 0.8023, Val Loss = 0.4609
Epoch 160: Train Acc = 0.8107, Val Loss = 0.4475
Epoch 170: Train Acc = 0.8041, Val Loss = 0.4443
Epoch 180: Train Acc = 0.8125, Val Loss = 0.4612
Epoch 190: Train Acc = 0.8199, Val Loss = 0.4480
Epoch 200: Train Acc = 0.8259, Val Loss = 0.4638
Epoch 210: Train Acc = 0.8253, Val Loss = 0.4383
Epoch 220: Train Acc = 0.8309, Val Loss = 0.4554
Epoch 230: Train Acc = 0.8366, Val Loss = 0.4394
Epoch 240: Train Acc = 0.8363, Val Loss = 0.4252
Epoch 250: Train Acc = 0.8447, Val Loss = 0.4374
Epoch 260: Train Acc = 0.8408, Val Loss = 0.4333
Epoch 270: Train Acc = 0.8390, Val Loss = 0.4274
Epoch 280: Train Acc = 0.8459, Val Loss = 0.4251
Epoch 290: Train Acc = 0.8497, Val Loss = 0.4326
✅ Fold 3 - Accuracy: 0.8186, Precision: 0.8162, Recall: 0.8201, F1: 0.8182
Fold time: 322.43s

🌀 Fold 4 -----------------------------
Epoch 000: Train Acc = 0.5176, Val Loss = 0.7026
Epoch 010: Train Acc = 0.5763, Val Loss = 0.6691
Epoch 020: Train Acc = 0.6288, Val Loss = 0.6380
Epoch 030: Train Acc = 0.6562, Val Loss = 0.6191
Epoch 040: Train Acc = 0.6634, Val Loss = 0.6149
Epoch 050: Train Acc = 0.6789, Val Loss = 0.5819
Epoch 060: Train Acc = 0.7078, Val Loss = 0.5447
Epoch 070: Train Acc = 0.7218, Val Loss = 0.5247
Epoch 080: Train Acc = 0.7329, Val Loss = 0.5066
Epoch 090: Train Acc = 0.7406, Val Loss = 0.4853
Epoch 100: Train Acc = 0.7552, Val Loss = 0.4666
Epoch 110: Train Acc = 0.7677, Val Loss = 0.4653
Epoch 120: Train Acc = 0.7800, Val Loss = 0.4798
Epoch 130: Train Acc = 0.7806, Val Loss = 0.4544
Epoch 140: Train Acc = 0.7925, Val Loss = 0.4382
Epoch 150: Train Acc = 0.8023, Val Loss = 0.4368
Epoch 160: Train Acc = 0.8038, Val Loss = 0.4277
Epoch 170: Train Acc = 0.8014, Val Loss = 0.4234
Epoch 180: Train Acc = 0.8053, Val Loss = 0.4165
Epoch 190: Train Acc = 0.8187, Val Loss = 0.4298
Epoch 200: Train Acc = 0.8104, Val Loss = 0.4304
Epoch 210: Train Acc = 0.8187, Val Loss = 0.4216
Epoch 220: Train Acc = 0.8226, Val Loss = 0.4152
Epoch 230: Train Acc = 0.8181, Val Loss = 0.4166
Epoch 240: Train Acc = 0.8214, Val Loss = 0.4138
Epoch 250: Train Acc = 0.8286, Val Loss = 0.4220
Epoch 260: Train Acc = 0.8309, Val Loss = 0.4020
Epoch 270: Train Acc = 0.8348, Val Loss = 0.4044
Epoch 280: Train Acc = 0.8280, Val Loss = 0.4129
Epoch 290: Train Acc = 0.8429, Val Loss = 0.4026
✅ Fold 4 - Accuracy: 0.8067, Precision: 0.7878, Recall: 0.8369, F1: 0.8116
Fold time: 248.02s

🎯 Final Cross-Validation Results:
Avg Accuracy : 0.8137 ± 0.0103
Avg Precision: 0.7928 ± 0.0310
Avg Recall   : 0.8520 ± 0.0391
Avg F1 Score : 0.8199 ± 0.0075
Total time: 1254.23s
