Processing...
Done!
Binary class counts: Counter({0: 2104, 1: 2088})
Epoch 96/300, Train Acc: 0.7677, Test Acc: 0.7890
Epoch 97/300, Train Acc: 0.7698, Test Acc: 0.7640
Epoch 98/300, Train Acc: 0.7802, Test Acc: 0.7700
Epoch 99/300, Train Acc: 0.7665, Test Acc: 0.7640
Epoch 100/300, Train Acc: 0.7838, Test Acc: 0.7676
Epoch 101/300, Train Acc: 0.7745, Test Acc: 0.7700
Epoch 102/300, Train Acc: 0.7808, Test Acc: 0.7878
Epoch 103/300, Train Acc: 0.7760, Test Acc: 0.7759
Epoch 104/300, Train Acc: 0.7730, Test Acc: 0.7616
Epoch 105/300, Train Acc: 0.7778, Test Acc: 0.7700
Epoch 106/300, Train Acc: 0.7730, Test Acc: 0.7771
Epoch 107/300, Train Acc: 0.7748, Test Acc: 0.7723
Epoch 108/300, Train Acc: 0.7811, Test Acc: 0.7497
Epoch 109/300, Train Acc: 0.7787, Test Acc: 0.7723
Epoch 110/300, Train Acc: 0.7793, Test Acc: 0.7890
Epoch 111/300, Train Acc: 0.7844, Test Acc: 0.7771
Epoch 112/300, Train Acc: 0.7754, Test Acc: 0.7867
Epoch 113/300, Train Acc: 0.7748, Test Acc: 0.7712
Epoch 114/300, Train Acc: 0.7802, Test Acc: 0.7867
Epoch 115/300, Train Acc: 0.7796, Test Acc: 0.7974
Epoch 116/300, Train Acc: 0.7808, Test Acc: 0.7783
Epoch 117/300, Train Acc: 0.7844, Test Acc: 0.7902
Epoch 118/300, Train Acc: 0.7954, Test Acc: 0.7437
Epoch 119/300, Train Acc: 0.7811, Test Acc: 0.7819
Epoch 120/300, Train Acc: 0.7894, Test Acc: 0.7819
Epoch 121/300, Train Acc: 0.7948, Test Acc: 0.7592
Epoch 122/300, Train Acc: 0.7814, Test Acc: 0.7878
Epoch 123/300, Train Acc: 0.7918, Test Acc: 0.7914
Epoch 124/300, Train Acc: 0.7811, Test Acc: 0.7592
Epoch 125/300, Train Acc: 0.7900, Test Acc: 0.7878
Epoch 126/300, Train Acc: 0.7933, Test Acc: 0.8010
Epoch 127/300, Train Acc: 0.7856, Test Acc: 0.8010
Epoch 128/300, Train Acc: 0.7874, Test Acc: 0.7962
Epoch 129/300, Train Acc: 0.7850, Test Acc: 0.7926
Epoch 130/300, Train Acc: 0.7859, Test Acc: 0.8033
Epoch 131/300, Train Acc: 0.7960, Test Acc: 0.7890
Epoch 132/300, Train Acc: 0.7877, Test Acc: 0.7962
Epoch 133/300, Train Acc: 0.7957, Test Acc: 0.7843
Epoch 134/300, Train Acc: 0.7954, Test Acc: 0.7914
Epoch 135/300, Train Acc: 0.7996, Test Acc: 0.7914
Epoch 136/300, Train Acc: 0.7981, Test Acc: 0.7926
Epoch 137/300, Train Acc: 0.7993, Test Acc: 0.7843
Epoch 138/300, Train Acc: 0.7942, Test Acc: 0.7771
Epoch 139/300, Train Acc: 0.7885, Test Acc: 0.7747
Epoch 140/300, Train Acc: 0.7948, Test Acc: 0.7890
Epoch 141/300, Train Acc: 0.7924, Test Acc: 0.7819
Epoch 142/300, Train Acc: 0.7924, Test Acc: 0.8010
Epoch 143/300, Train Acc: 0.7954, Test Acc: 0.7878
Epoch 144/300, Train Acc: 0.7990, Test Acc: 0.7926
Epoch 145/300, Train Acc: 0.8014, Test Acc: 0.7938
Epoch 146/300, Train Acc: 0.8058, Test Acc: 0.7926
Epoch 147/300, Train Acc: 0.7969, Test Acc: 0.7843
Epoch 148/300, Train Acc: 0.7948, Test Acc: 0.7604
Epoch 149/300, Train Acc: 0.8029, Test Acc: 0.7771
Epoch 150/300, Train Acc: 0.7981, Test Acc: 0.7831
Epoch 151/300, Train Acc: 0.8067, Test Acc: 0.7974
Epoch 152/300, Train Acc: 0.8002, Test Acc: 0.8010
Epoch 153/300, Train Acc: 0.7960, Test Acc: 0.7974
Epoch 154/300, Train Acc: 0.8026, Test Acc: 0.7950
Epoch 155/300, Train Acc: 0.8023, Test Acc: 0.7962
Epoch 156/300, Train Acc: 0.8061, Test Acc: 0.7914
Epoch 157/300, Train Acc: 0.8085, Test Acc: 0.8033
Epoch 158/300, Train Acc: 0.8005, Test Acc: 0.7902
Epoch 159/300, Train Acc: 0.7981, Test Acc: 0.8045
Epoch 160/300, Train Acc: 0.7999, Test Acc: 0.7974
Epoch 161/300, Train Acc: 0.8112, Test Acc: 0.8033
Epoch 162/300, Train Acc: 0.7954, Test Acc: 0.7998
Epoch 163/300, Train Acc: 0.8133, Test Acc: 0.7950
Epoch 164/300, Train Acc: 0.8044, Test Acc: 0.7783
Epoch 165/300, Train Acc: 0.8091, Test Acc: 0.8033
Epoch 166/300, Train Acc: 0.8067, Test Acc: 0.8093
Epoch 167/300, Train Acc: 0.8112, Test Acc: 0.7890
Epoch 168/300, Train Acc: 0.8178, Test Acc: 0.7914
Epoch 169/300, Train Acc: 0.8047, Test Acc: 0.7938
Epoch 170/300, Train Acc: 0.8052, Test Acc: 0.7974
Epoch 171/300, Train Acc: 0.8082, Test Acc: 0.8033
Epoch 172/300, Train Acc: 0.8091, Test Acc: 0.7700
Epoch 173/300, Train Acc: 0.8008, Test Acc: 0.8033
Epoch 174/300, Train Acc: 0.8100, Test Acc: 0.7878
Epoch 175/300, Train Acc: 0.8112, Test Acc: 0.8045
Epoch 176/300, Train Acc: 0.8118, Test Acc: 0.7902
Epoch 177/300, Train Acc: 0.8124, Test Acc: 0.7986
Epoch 178/300, Train Acc: 0.8133, Test Acc: 0.8010
Epoch 179/300, Train Acc: 0.8103, Test Acc: 0.7938
Epoch 180/300, Train Acc: 0.8091, Test Acc: 0.8105
Epoch 181/300, Train Acc: 0.8106, Test Acc: 0.7998
Epoch 182/300, Train Acc: 0.8178, Test Acc: 0.8081
Epoch 183/300, Train Acc: 0.8184, Test Acc: 0.8105
Epoch 184/300, Train Acc: 0.8169, Test Acc: 0.8045
Epoch 185/300, Train Acc: 0.8079, Test Acc: 0.7783
Epoch 186/300, Train Acc: 0.8148, Test Acc: 0.7950
Epoch 187/300, Train Acc: 0.8127, Test Acc: 0.8069
Epoch 188/300, Train Acc: 0.8139, Test Acc: 0.7950
Epoch 189/300, Train Acc: 0.8175, Test Acc: 0.8010
Epoch 190/300, Train Acc: 0.8103, Test Acc: 0.8081
Epoch 191/300, Train Acc: 0.8199, Test Acc: 0.8033
Epoch 192/300, Train Acc: 0.8118, Test Acc: 0.8081
Epoch 193/300, Train Acc: 0.8079, Test Acc: 0.7986
Epoch 194/300, Train Acc: 0.8103, Test Acc: 0.8010
Epoch 195/300, Train Acc: 0.8169, Test Acc: 0.8033
