Class distribution: Counter({0: 2104, 1: 2088})
Epoch 100: Train Acc = 0.7290, Val Loss = 0.5614
Epoch 110: Train Acc = 0.7421, Val Loss = 0.5473
Epoch 120: Train Acc = 0.7433, Val Loss = 0.5861
Epoch 130: Train Acc = 0.7481, Val Loss = 0.5453
Epoch 140: Train Acc = 0.7546, Val Loss = 0.5510
Epoch 150: Train Acc = 0.7618, Val Loss = 0.5509
Epoch 160: Train Acc = 0.7603, Val Loss = 0.5224
Epoch 170: Train Acc = 0.7770, Val Loss = 0.5171
Epoch 180: Train Acc = 0.7698, Val Loss = 0.5549
Epoch 190: Train Acc = 0.7746, Val Loss = 0.5105
Epoch 200: Train Acc = 0.7752, Val Loss = 0.4931
Epoch 210: Train Acc = 0.7853, Val Loss = 0.5014
Epoch 220: Train Acc = 0.7919, Val Loss = 0.4974
Epoch 230: Train Acc = 0.7943, Val Loss = 0.5009
Epoch 240: Train Acc = 0.7979, Val Loss = 0.4894
Epoch 250: Train Acc = 0.7967, Val Loss = 0.4918
Epoch 260: Train Acc = 0.7987, Val Loss = 0.4890
Epoch 270: Train Acc = 0.8098, Val Loss = 0.4862
Epoch 280: Train Acc = 0.8110, Val Loss = 0.5067
Epoch 290: Train Acc = 0.8169, Val Loss = 0.5218
✅ Fold 3 - Accuracy: 0.7959, Precision: 0.8475, Recall: 0.7194, F1: 0.7782
Fold time: 352.85s

🌀 Fold 4 -----------------------------
Epoch 000: Train Acc = 0.4848, Val Loss = 0.6924
Epoch 010: Train Acc = 0.5617, Val Loss = 0.6875
Epoch 020: Train Acc = 0.5820, Val Loss = 0.6694
Epoch 030: Train Acc = 0.6061, Val Loss = 0.6460
Epoch 040: Train Acc = 0.6392, Val Loss = 0.6283
Epoch 050: Train Acc = 0.6446, Val Loss = 0.6070
Epoch 060: Train Acc = 0.6667, Val Loss = 0.5993
Epoch 070: Train Acc = 0.6863, Val Loss = 0.5914
Epoch 080: Train Acc = 0.6887, Val Loss = 0.5633
Epoch 090: Train Acc = 0.6968, Val Loss = 0.5507
Epoch 100: Train Acc = 0.7168, Val Loss = 0.5702
Epoch 110: Train Acc = 0.7275, Val Loss = 0.5579
Epoch 120: Train Acc = 0.7463, Val Loss = 0.5405
Epoch 130: Train Acc = 0.7412, Val Loss = 0.5280
Epoch 140: Train Acc = 0.7510, Val Loss = 0.5242
Epoch 150: Train Acc = 0.7469, Val Loss = 0.5342
Epoch 160: Train Acc = 0.7487, Val Loss = 0.5136
Epoch 170: Train Acc = 0.7585, Val Loss = 0.5050
Epoch 180: Train Acc = 0.7657, Val Loss = 0.5132
Epoch 190: Train Acc = 0.7812, Val Loss = 0.5013
Epoch 200: Train Acc = 0.7734, Val Loss = 0.5090
Epoch 210: Train Acc = 0.7755, Val Loss = 0.5032
Epoch 220: Train Acc = 0.7818, Val Loss = 0.4805
Epoch 230: Train Acc = 0.7818, Val Loss = 0.5105
Epoch 240: Train Acc = 0.7904, Val Loss = 0.4738
Epoch 250: Train Acc = 0.7856, Val Loss = 0.4797
Epoch 260: Train Acc = 0.7818, Val Loss = 0.5021
Epoch 270: Train Acc = 0.7922, Val Loss = 0.4800
Epoch 280: Train Acc = 0.7973, Val Loss = 0.4896
Epoch 290: Train Acc = 0.7982, Val Loss = 0.5111
✅ Fold 4 - Accuracy: 0.7792, Precision: 0.7348, Recall: 0.8705, F1: 0.7969
Fold time: 191.59s

🎯 Final Cross-Validation Results:
Avg Accuracy : 0.7736 ± 0.0166
Avg Precision: 0.7486 ± 0.0536
Avg Recall   : 0.8381 ± 0.0634
Avg F1 Score : 0.7865 ± 0.0069
Total time: 1414.44s
