Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 96/300, Train Acc: 0.8339, Test Acc: 0.8024
Epoch 97/300, Train Acc: 0.8360, Test Acc: 0.8060
Epoch 98/300, Train Acc: 0.8372, Test Acc: 0.8190
Epoch 99/300, Train Acc: 0.8366, Test Acc: 0.7976
Epoch 100/300, Train Acc: 0.8315, Test Acc: 0.8107
Epoch 101/300, Train Acc: 0.8381, Test Acc: 0.7988
Epoch 102/300, Train Acc: 0.8369, Test Acc: 0.8000
Epoch 103/300, Train Acc: 0.8342, Test Acc: 0.8060
Epoch 104/300, Train Acc: 0.8417, Test Acc: 0.8107
Epoch 105/300, Train Acc: 0.8426, Test Acc: 0.8107
Epoch 106/300, Train Acc: 0.8378, Test Acc: 0.8155
Epoch 107/300, Train Acc: 0.8414, Test Acc: 0.8071
Epoch 108/300, Train Acc: 0.8414, Test Acc: 0.8060
Epoch 109/300, Train Acc: 0.8372, Test Acc: 0.8107
Epoch 110/300, Train Acc: 0.8470, Test Acc: 0.8036
Epoch 111/300, Train Acc: 0.8458, Test Acc: 0.8119
Epoch 112/300, Train Acc: 0.8440, Test Acc: 0.8071
Epoch 113/300, Train Acc: 0.8387, Test Acc: 0.8179
Epoch 114/300, Train Acc: 0.8426, Test Acc: 0.8071
Epoch 115/300, Train Acc: 0.8473, Test Acc: 0.8107
Epoch 116/300, Train Acc: 0.8443, Test Acc: 0.8214
Epoch 117/300, Train Acc: 0.8414, Test Acc: 0.8190
Epoch 118/300, Train Acc: 0.8402, Test Acc: 0.8107
Epoch 119/300, Train Acc: 0.8497, Test Acc: 0.8000
Epoch 120/300, Train Acc: 0.8432, Test Acc: 0.8155
Epoch 121/300, Train Acc: 0.8503, Test Acc: 0.8155
Epoch 122/300, Train Acc: 0.8432, Test Acc: 0.8071
Epoch 123/300, Train Acc: 0.8494, Test Acc: 0.8131
Epoch 124/300, Train Acc: 0.8470, Test Acc: 0.8155
