Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 96/300, Train Acc: 0.7723, Test Acc: 0.7571
Epoch 97/300, Train Acc: 0.7667, Test Acc: 0.7607
Epoch 98/300, Train Acc: 0.7711, Test Acc: 0.7750
Epoch 99/300, Train Acc: 0.7688, Test Acc: 0.7488
Epoch 100/300, Train Acc: 0.7735, Test Acc: 0.7607
Epoch 101/300, Train Acc: 0.7699, Test Acc: 0.7524
Epoch 102/300, Train Acc: 0.7705, Test Acc: 0.7536
Epoch 103/300, Train Acc: 0.7667, Test Acc: 0.7548
Epoch 104/300, Train Acc: 0.7744, Test Acc: 0.7560
Epoch 105/300, Train Acc: 0.7693, Test Acc: 0.7750
Epoch 106/300, Train Acc: 0.7801, Test Acc: 0.7857
Epoch 107/300, Train Acc: 0.7664, Test Acc: 0.7774
Epoch 108/300, Train Acc: 0.7786, Test Acc: 0.7786
Epoch 109/300, Train Acc: 0.7801, Test Acc: 0.7619
Epoch 110/300, Train Acc: 0.7765, Test Acc: 0.7667
Epoch 111/300, Train Acc: 0.7827, Test Acc: 0.7679
Epoch 112/300, Train Acc: 0.7863, Test Acc: 0.7690
Epoch 113/300, Train Acc: 0.7851, Test Acc: 0.7750
Epoch 114/300, Train Acc: 0.7869, Test Acc: 0.7762
Epoch 115/300, Train Acc: 0.7884, Test Acc: 0.7833
Epoch 116/300, Train Acc: 0.7821, Test Acc: 0.7774
Epoch 117/300, Train Acc: 0.7801, Test Acc: 0.7810
Epoch 118/300, Train Acc: 0.7774, Test Acc: 0.7607
Epoch 119/300, Train Acc: 0.7792, Test Acc: 0.7714
Epoch 120/300, Train Acc: 0.7914, Test Acc: 0.7833
Epoch 121/300, Train Acc: 0.7893, Test Acc: 0.7726
Epoch 122/300, Train Acc: 0.7920, Test Acc: 0.7881
Epoch 123/300, Train Acc: 0.7860, Test Acc: 0.7905
Epoch 124/300, Train Acc: 0.7842, Test Acc: 0.7821
Epoch 125/300, Train Acc: 0.7932, Test Acc: 0.7845
