Binary class counts: Counter({0: 2104, 1: 2088})
Epoch 97/300, Train Acc: 0.8282, Test Acc: 0.8129
Epoch 98/300, Train Acc: 0.8303, Test Acc: 0.8081
Epoch 99/300, Train Acc: 0.8261, Test Acc: 0.7974
Epoch 100/300, Train Acc: 0.8360, Test Acc: 0.8045
Epoch 101/300, Train Acc: 0.8318, Test Acc: 0.8081
Epoch 102/300, Train Acc: 0.8297, Test Acc: 0.8129
Epoch 103/300, Train Acc: 0.8333, Test Acc: 0.8057
Epoch 104/300, Train Acc: 0.8410, Test Acc: 0.8129
Epoch 105/300, Train Acc: 0.8342, Test Acc: 0.8141
Epoch 106/300, Train Acc: 0.8321, Test Acc: 0.8117
Epoch 107/300, Train Acc: 0.8404, Test Acc: 0.8057
Epoch 108/300, Train Acc: 0.8390, Test Acc: 0.8105
Epoch 109/300, Train Acc: 0.8348, Test Acc: 0.8117
Epoch 110/300, Train Acc: 0.8419, Test Acc: 0.8057
Epoch 111/300, Train Acc: 0.8384, Test Acc: 0.8212
Epoch 112/300, Train Acc: 0.8378, Test Acc: 0.8224
Epoch 113/300, Train Acc: 0.8387, Test Acc: 0.8188
Epoch 114/300, Train Acc: 0.8434, Test Acc: 0.8153
Epoch 115/300, Train Acc: 0.8419, Test Acc: 0.8117
Epoch 116/300, Train Acc: 0.8485, Test Acc: 0.8141
Epoch 117/300, Train Acc: 0.8410, Test Acc: 0.8176
Epoch 118/300, Train Acc: 0.8351, Test Acc: 0.7902
Epoch 119/300, Train Acc: 0.8434, Test Acc: 0.8105
Epoch 120/300, Train Acc: 0.8413, Test Acc: 0.8153
Epoch 121/300, Train Acc: 0.8464, Test Acc: 0.8069
Epoch 122/300, Train Acc: 0.8518, Test Acc: 0.8164
Epoch 123/300, Train Acc: 0.8503, Test Acc: 0.8153
Epoch 124/300, Train Acc: 0.8452, Test Acc: 0.8117
Epoch 125/300, Train Acc: 0.8455, Test Acc: 0.8010
Epoch 126/300, Train Acc: 0.8443, Test Acc: 0.8200
Epoch 127/300, Train Acc: 0.8521, Test Acc: 0.8141
Epoch 128/300, Train Acc: 0.8503, Test Acc: 0.8200
Epoch 129/300, Train Acc: 0.8524, Test Acc: 0.8212
Epoch 130/300, Train Acc: 0.8503, Test Acc: 0.8260
Epoch 131/300, Train Acc: 0.8527, Test Acc: 0.7950
Epoch 132/300, Train Acc: 0.8500, Test Acc: 0.8248
Epoch 133/300, Train Acc: 0.8503, Test Acc: 0.8117
Epoch 134/300, Train Acc: 0.8428, Test Acc: 0.8212
Epoch 135/300, Train Acc: 0.8494, Test Acc: 0.8153
Epoch 136/300, Train Acc: 0.8494, Test Acc: 0.7938
Epoch 137/300, Train Acc: 0.8518, Test Acc: 0.7986
Epoch 138/300, Train Acc: 0.8521, Test Acc: 0.8129
Epoch 139/300, Train Acc: 0.8524, Test Acc: 0.8200
Epoch 140/300, Train Acc: 0.8559, Test Acc: 0.8212
Epoch 141/300, Train Acc: 0.8524, Test Acc: 0.8260
Epoch 142/300, Train Acc: 0.8568, Test Acc: 0.8200
Epoch 143/300, Train Acc: 0.8562, Test Acc: 0.8153
Epoch 144/300, Train Acc: 0.8625, Test Acc: 0.8129
Epoch 145/300, Train Acc: 0.8571, Test Acc: 0.8296
Epoch 146/300, Train Acc: 0.8586, Test Acc: 0.8248
Epoch 147/300, Train Acc: 0.8559, Test Acc: 0.8200
Epoch 148/300, Train Acc: 0.8509, Test Acc: 0.8164
Epoch 149/300, Train Acc: 0.8568, Test Acc: 0.8069
Epoch 150/300, Train Acc: 0.8551, Test Acc: 0.8260
Epoch 151/300, Train Acc: 0.8619, Test Acc: 0.8212
Epoch 152/300, Train Acc: 0.8539, Test Acc: 0.8331
Early stopping triggered.

📘 Final Classification Metrics
----------------------------------------
Train Accuracy : 0.8741
Train Precision: 0.8512
Train Recall   : 0.9053
Train F1 Score : 0.8774
Train Loss     : 0.3397
----------------------------------------
Test Accuracy  : 0.8248
Test Precision : 0.8095
Test Recall    : 0.8500
Test F1 Score  : 0.8293
Test Loss      : 0.3925
----------------------------------------
Execution time : 1.25 minutes
📁 Metrics and plots saved in 'plots/' folder
